handle,title,vendor,formattedcode,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
mountain-tan-rewh550459,Vinyl Mountain Tan REWH5504 The Walnut Hills,republicfloor,republicfloor-REWH5504,22679.6185,100000,80.41,,,25-05-2021,25-05-2021
light-sand-rewh550358,Vinyl Light Sand REWH5503 The Walnut Hills,republicfloor,republicfloor-REWH5503,22679.6185,100000,80.41,,,25-05-2021,25-05-2021
graphite-grey-rewh550257,Graphite Grey REWH5502 The Walnut Hills,republicfloor,republicfloor-REWH5502,22679.6185,100000,80.41,,,25-05-2021,25-05-2021
granito-nero-rewh550156,Granito Nero REWH5501 The Walnut Hills,republicfloor,republicfloor-REWH5501,22679.6185,100000,80.41,,,25-05-2021,25-05-2021
toros-grey-recc530355,Vinyl Toros Grey RECC5303 Clover Creek,republicfloor,republicfloor-RECC5303,22679.6185,100000,80.44,,,25-05-2021,25-05-2021
tiger-beige-recc530254,Vinyl Tiger Beige RECC5302 Clover Creek,republicfloor,republicfloor-RECC5302,22679.6185,100000,80.44,,,25-05-2021,25-05-2021
tropical-malaga-recc530153,Vinyl Tropical Malaga RECC5301 Clover Creek,republicfloor,republicfloor-RECC5301,22679.6185,100000,80.44,,,25-05-2021,25-05-2021
virginia-mist-regp520652,Vinyl Virginia Mist REGP5206 Glacier Point,republicfloor,republicfloor-REGP5206,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
super-gray-regp520551,Vinyl Super Gray REGP5205 Glacier Point,republicfloor,republicfloor-REGP5205,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
sydney-cedar-regp520450,Vinyl Sydney Cedar REGP5204 Glacier Point,republicfloor,republicfloor-REGP5204,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
silver-pearl-regp520349,Vinyl Silver Pearl REGP5203 Glacier Point,republicfloor,republicfloor-REGP5203,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
safari-brown-regp520248,Safari Brown REGP5202,republicfloor,republicfloor-REGP5202,0,0,0,,,25-05-2021,25-05-2021
sahara-beige-regp520147,Vinyl Sahara Beige REGP5201 Glacier Point,republicfloor,republicfloor-REGP5201,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
dynamic-beige-resl510546,Dynamic Beige RESL5105 Silver Lake,republicfloor,republicfloor-RESL5105,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
amazon-grey-resl510445,Vinyl Amazon Grey RESL5104 Silver Lake,republicfloor,republicfloor-RESL5104,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
lemon-ice-resl510344,Lemon Ice RESL5103,republicfloor,republicfloor-RESL5103,0,0,0,,,25-05-2021,25-05-2021
bross-blue-resl510243,Bross Blue RESL5102,republicfloor,republicfloor-RESL5102,0,0,0,,,25-05-2021,25-05-2021
antique-ice-resl510142,Vinyl Antique Ice RESL5101 Silver Lake,republicfloor,republicfloor-RESL5101,22679.6185,10000,97.67,,,25-05-2021,25-05-2021
aspen-recs210537,Aspen RECS2105,republicfloor,republicfloor-RECS2105,27215.5422,1000000,186.63,,,25-05-2021,25-05-2021
tulip-tree-recs210436,Tulip Tree RECS2104,republicfloor,republicfloor-RECS2104,27215.5422,1000000,186.63,,,25-05-2021,25-05-2021
hawthorn-recs210335,Vinyl Hawthorn RECS2103 COUNTRYSIDE,republicfloor,republicfloor-RECS2103,27215.5422,1000000,186.63,,,25-05-2021,25-05-2021
american-hornbeam-recs210234,American Hornbeam RECS2102,republicfloor,republicfloor-RECS2102,27215.5422,1000000,186.63,,,25-05-2021,25-05-2021
eastern-cottonwood-recs210133,Eastern Cottonwood RECS2101,republicfloor,republicfloor-RECS2101,27215.5422,1000000,186.63,,,25-05-2021,25-05-2021
carmel-highlands-recb270232,Vinyl Carmel Highlands RECB2702 Carmel By The Sea,republicfloor,republicfloor-RECB2702,18143.6948,100000,108.51,,,25-05-2021,25-05-2021
